year,China,U.S.,Japan,France,Germany,U.K.,other
2000,10,175,107,33,34,40,101
2001,11,181,104,33,32,35,104
2002,13,196,88,33,33,35,102
2003,12,191,88,36,34,36,103
2004,16,188,82,32,32,37,113
2005,18,174,81,34,35,37,121
2006,23,170,70,29,33,39,136
2007,35,153,64,29,34,35,150
2008,35,153,64,33,34,35,146
2009,43,140,68,31,36,27,155
2010,54,139,71,31,34,30,141
2011,69,133,68,27,32,31,140
2012,79,132,68,35,29,27,130
2013,95,132,62,31,29,27,114
2014,100,128,57,31,28,28,123
2015,106,128,54,31,28,29,124
2016,110,134,52,29,28,26,121
2017,115,132,51,29,29,24,120
2018,120,126,52,28,32,21,121
2019,129,121,52,31,29,17,121
